covid_hospitalized_infant_weekly_mean,covid_hospitalized_infant_weekly_std,covid_hospitalized_infant_weekly_n,covid_hospitalized_infant_weekly_ci_lower,covid_hospitalized_infant_weekly_ci_upper,covid_hospitalized_infant_weekly_p2_5,covid_hospitalized_infant_weekly_p97_5,covid_hospitalized_preschool_weekly_mean,covid_hospitalized_preschool_weekly_std,covid_hospitalized_preschool_weekly_n,covid_hospitalized_preschool_weekly_ci_lower,covid_hospitalized_preschool_weekly_ci_upper,covid_hospitalized_preschool_weekly_p2_5,covid_hospitalized_preschool_weekly_p97_5,covid_hospitalized_child_weekly_mean,covid_hospitalized_child_weekly_std,covid_hospitalized_child_weekly_n,covid_hospitalized_child_weekly_ci_lower,covid_hospitalized_child_weekly_ci_upper,covid_hospitalized_child_weekly_p2_5,covid_hospitalized_child_weekly_p97_5,covid_hospitalized_adult_weekly_mean,covid_hospitalized_adult_weekly_std,covid_hospitalized_adult_weekly_n,covid_hospitalized_adult_weekly_ci_lower,covid_hospitalized_adult_weekly_ci_upper,covid_hospitalized_adult_weekly_p2_5,covid_hospitalized_adult_weekly_p97_5,covid_hospitalized_senior_weekly_mean,covid_hospitalized_senior_weekly_std,covid_hospitalized_senior_weekly_n,covid_hospitalized_senior_weekly_ci_lower,covid_hospitalized_senior_weekly_ci_upper,covid_hospitalized_senior_weekly_p2_5,covid_hospitalized_senior_weekly_p97_5,flu_hospitalized_infant_weekly_mean,flu_hospitalized_infant_weekly_std,flu_hospitalized_infant_weekly_n,flu_hospitalized_infant_weekly_ci_lower,flu_hospitalized_infant_weekly_ci_upper,flu_hospitalized_infant_weekly_p2_5,flu_hospitalized_infant_weekly_p97_5,flu_hospitalized_preschool_weekly_mean,flu_hospitalized_preschool_weekly_std,flu_hospitalized_preschool_weekly_n,flu_hospitalized_preschool_weekly_ci_lower,flu_hospitalized_preschool_weekly_ci_upper,flu_hospitalized_preschool_weekly_p2_5,flu_hospitalized_preschool_weekly_p97_5,flu_hospitalized_child_weekly_mean,flu_hospitalized_child_weekly_std,flu_hospitalized_child_weekly_n,flu_hospitalized_child_weekly_ci_lower,flu_hospitalized_child_weekly_ci_upper,flu_hospitalized_child_weekly_p2_5,flu_hospitalized_child_weekly_p97_5,flu_hospitalized_adult_weekly_mean,flu_hospitalized_adult_weekly_std,flu_hospitalized_adult_weekly_n,flu_hospitalized_adult_weekly_ci_lower,flu_hospitalized_adult_weekly_ci_upper,flu_hospitalized_adult_weekly_p2_5,flu_hospitalized_adult_weekly_p97_5,flu_hospitalized_senior_weekly_mean,flu_hospitalized_senior_weekly_std,flu_hospitalized_senior_weekly_n,flu_hospitalized_senior_weekly_ci_lower,flu_hospitalized_senior_weekly_ci_upper,flu_hospitalized_senior_weekly_p2_5,flu_hospitalized_senior_weekly_p97_5,rsv_hospitalized_infant_weekly_mean,rsv_hospitalized_infant_weekly_std,rsv_hospitalized_infant_weekly_n,rsv_hospitalized_infant_weekly_ci_lower,rsv_hospitalized_infant_weekly_ci_upper,rsv_hospitalized_infant_weekly_p2_5,rsv_hospitalized_infant_weekly_p97_5,rsv_hospitalized_preschool_weekly_mean,rsv_hospitalized_preschool_weekly_std,rsv_hospitalized_preschool_weekly_n,rsv_hospitalized_preschool_weekly_ci_lower,rsv_hospitalized_preschool_weekly_ci_upper,rsv_hospitalized_preschool_weekly_p2_5,rsv_hospitalized_preschool_weekly_p97_5,rsv_hospitalized_child_weekly_mean,rsv_hospitalized_child_weekly_std,rsv_hospitalized_child_weekly_n,rsv_hospitalized_child_weekly_ci_lower,rsv_hospitalized_child_weekly_ci_upper,rsv_hospitalized_child_weekly_p2_5,rsv_hospitalized_child_weekly_p97_5,rsv_hospitalized_adult_weekly_mean,rsv_hospitalized_adult_weekly_std,rsv_hospitalized_adult_weekly_n,rsv_hospitalized_adult_weekly_ci_lower,rsv_hospitalized_adult_weekly_ci_upper,rsv_hospitalized_adult_weekly_p2_5,rsv_hospitalized_adult_weekly_p97_5,rsv_hospitalized_senior_weekly_mean,rsv_hospitalized_senior_weekly_std,rsv_hospitalized_senior_weekly_n,rsv_hospitalized_senior_weekly_ci_lower,rsv_hospitalized_senior_weekly_ci_upper,rsv_hospitalized_senior_weekly_p2_5,rsv_hospitalized_senior_weekly_p97_5
0.0,0.0,100,0.0,0.0,0.0,0.0,0.02,0.19999999999999993,100,-0.01968433903017364,0.059684339030173644,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.02,0.19999999999999998,100,-0.019684339030173647,0.059684339030173644,0.0,0.0,0.03,0.22270150335361322,100,-0.014188809808070711,0.07418880980807072,0.0,0.0,0.04,0.24287836253956221,100,-0.008192336410567075,0.08819233641056708,0.0,0.5249999999999915,0.11,0.4902071300001974,100,0.012732270290318773,0.20726772970968121,0.0,1.5249999999999915,0.03,0.2999999999999999,100,-0.02952650854526046,0.08952650854526045,0.0,0.0,0.1,0.6113406364191519,100,-0.021303245392898754,0.22130324539289875,0.0,1.049999999999983,0.12,0.6240953048172609,100,-0.0038340483175387657,0.24383404831753874,0.0,2.0,0.01,0.09999999999999999,100,-0.009842169515086823,0.029842169515086822,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.01,0.09999999999999996,100,-0.00984216951508682,0.029842169515086822,0.0,0.0
0.03,0.2227015033536135,100,-0.014188809808070767,0.07418880980807077,0.0,0.0,0.07,0.6999999999999995,100,-0.0688951866056077,0.2088951866056077,0.0,0.0,0.09,0.726065917924617,100,-0.0540672302258737,0.2340672302258737,0.0,0.0,0.16,0.8612886750783282,100,-0.010898358923287249,0.33089835892328723,0.0,3.0,0.69,1.7448046980517402,100,0.34379289410537484,1.0362071058946252,0.0,5.5249999999999915,0.23,0.8744984132332513,100,0.05648054243951378,0.40351945756048624,0.0,3.049999999999983,0.11,0.6012613005301025,100,-0.009303286479798584,0.22930328647979858,0.0,1.5249999999999915,0.08,0.4644971213662959,100,-0.012166306214199021,0.17216630621419904,0.0,1.0,0.07,0.43239992711573905,100,-0.01579752652141682,0.15579752652141682,0.0,0.5249999999999915,0.23,0.8147007878585696,100,0.06834568863235471,0.3916543113676453,0.0,3.0,0.52,1.4528272680215872,100,0.2317275507177518,0.8082724492822482,0.0,5.5249999999999915,0.06,0.4221158824088693,100,-0.023756948937672426,0.14375694893767244,0.0,0.0,0.04,0.3152680437246049,100,-0.02255601966273415,0.10255601966273414,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.13,0.7869516689688949,100,-0.02614828415861306,0.28614828415861304,0.0,1.0
0.25,1.282161999881214,100,-0.004408757474457847,0.5044087574744578,0.0,3.0,0.17,0.8534540634292119,100,0.0006561980009791302,0.3393438019990209,0.0,2.5249999999999915,0.47,1.4595903673305197,100,0.18038560508839974,0.7596143949116002,0.0,6.049999999999983,0.71,1.8548053887950149,100,0.3419663705803278,1.0780336294196722,0.0,6.5249999999999915,2.11,3.5359481462444102,100,1.4083911748566136,2.811608825143386,0.0,12.049999999999983,0.29,0.8795660086863093,100,0.11547502155937917,0.4645249784406208,0.0,3.5249999999999915,0.09,0.4515964946048555,100,0.0003934580163146295,0.17960654198368536,0.0,1.0,0.05,0.2972941950052816,100,-0.00898961813146077,0.10898961813146077,0.0,0.5249999999999915,0.15,0.5751591786697675,100,0.03587594078676361,0.2641240592132364,0.0,2.0,0.15,0.641573192719398,100,0.022697959537262336,0.27730204046273765,0.0,1.5249999999999915,1.24,1.995550606279435,100,0.8440394659426915,1.6359605340573085,0.0,6.0,0.2,0.9534625892455922,100,0.010812336778953574,0.3891876632210465,0.0,3.5249999999999915,0.11,0.6497085593719775,100,-0.018916273704616307,0.23891627370461632,0.0,1.5749999999999744,0.14,0.6966006928309247,100,0.0017793096852186385,0.27822069031478136,0.0,2.0,0.23,0.9624778627914692,100,0.039023510919731885,0.42097648908026813,0.0,2.5249999999999915
0.94,2.4197002903147937,100,0.4598789666386905,1.4201210333613095,0.0,8.049999999999983,0.36,1.6546231527987822,100,0.0316868691857915,0.6883131308142085,0.0,7.0,1.0,2.274140974459845,100,0.5487610928356301,1.4512389071643699,0.0,7.0,1.57,2.723837904371866,100,1.0295314656983459,2.1104685343016545,0.0,8.049999999999983,2.47,3.459593600235132,100,1.7835415733082498,3.1564584266917506,0.0,12.0,0.25,0.94681816969503,100,0.062130733769469704,0.4378692662305303,0.0,4.049999999999983,0.2,0.6816498108607264,100,0.06474588902974596,0.33525411097025404,0.0,2.5249999999999915,0.08,0.5628211765451583,100,-0.03167593191689641,0.1916759319168964,0.0,0.0,0.21,0.8444112167838033,100,0.04245049496135042,0.3775495050386496,0.0,3.5249999999999915,0.08,0.41875235563938645,100,-0.003089552254386299,0.16308955225438632,0.0,1.5249999999999915,1.18,2.071353434473473,100,0.7689985402752004,1.5910014597247994,0.0,6.0,0.15,0.5751591786697674,100,0.035875940786763635,0.26412405921323634,0.0,2.5249999999999915,0.17,0.9433981132056605,100,-0.017190652824397856,0.3571906528243979,0.0,1.5249999999999915,0.16,0.8612886750783267,100,-0.010898358923286972,0.330898358923287,0.0,2.049999999999983,0.63,1.8071407183054597,100,0.271424075297673,0.988575924702327,0.0,6.0
1.4,2.6666666666666674,100,0.8708754795976844,1.9291245204023153,0.0,7.0,0.35,1.2583057392117922,100,0.1003248422075298,0.5996751577924702,0.0,5.5249999999999915,1.6,2.6742316936860844,100,1.0693744141126298,2.1306255858873704,0.0,7.0,1.88,3.720758041587818,100,1.1417208821419202,2.6182791178580795,0.0,9.049999999999983,3.24,4.40642322712715,100,2.3656700337212717,4.114329966278729,0.0,12.524999999999991,0.28,0.9855521961383539,100,0.08444506258256684,0.4755549374174332,0.0,4.0,0.1,0.6435381994422817,100,-0.027691940427675088,0.2276919404276751,0.0,0.5249999999999915,0.01,0.09999999999999998,100,-0.009842169515086823,0.029842169515086822,0.0,0.0,0.07,0.49756985195624265,100,-0.02872865348112423,0.16872865348112426,0.0,0.0,0.04,0.3999999999999999,100,-0.039368678060347294,0.11936867806034729,0.0,0.0,2.11,3.0347981810987017,100,1.5078302004656239,2.712169799534376,0.0,9.049999999999983,0.39,1.294081320723881,100,0.13322619067889307,0.646773809321107,0.0,4.5249999999999915,0.19,0.9395356686828196,100,0.003575739965250402,0.3764242600347496,0.0,3.0,0.33,1.1638928063384817,100,0.09905841639241725,0.5609415836075828,0.0,4.0,1.0,1.9796949055831605,100,0.6071855809526512,1.3928144190473488,0.0,6.0
1.41,2.843013765834995,100,0.8458843892457665,1.9741156107542333,0.0,7.5249999999999915,0.43,1.4924388554891408,100,0.13386775238482296,0.726132247615177,0.0,7.0,1.57,2.8364688532673052,100,1.0071830418920618,2.1328169581079384,0.0,8.524999999999991,2.8,3.175028831492414,100,2.1700053971023943,3.4299946028976054,0.0,9.0,4.9,4.5405023528417665,100,3.999065826312631,5.800934173687369,0.0,14.524999999999991,0.19,0.6918720031095846,100,0.052717584315569416,0.3272824156844306,0.0,3.0,0.1,0.5773502691896256,100,-0.014558819108415624,0.21455881910841562,0.0,1.5249999999999915,0.0,0.0,100,0.0,0.0,0.0,0.0,0.09,0.6681045100608403,100,-0.042566429424212265,0.22256642942421226,0.0,0.0,0.08,0.4857567250791238,100,-0.016384672821134025,0.17638467282113401,0.0,1.049999999999983,2.43,2.9890541053056294,100,1.8369068175275953,3.023093182472405,0.0,10.099999999999966,0.53,1.5072551813870745,100,0.2309278718842473,0.8290721281157527,0.0,5.5249999999999915,0.13,0.733815268637038,100,-0.015604869530550874,0.27560486953055086,0.0,1.5249999999999915,0.29,0.956582722533972,100,0.10019323464277657,0.4798067653572234,0.0,2.5249999999999915,1.09,2.07483722131388,100,0.6783072813847828,1.5016927186152174,0.0,6.5249999999999915
1.4,2.211083193570265,100,0.9612731246121925,1.8387268753878074,0.0,6.5249999999999915,0.81,1.9576062480034675,100,0.421568449833221,1.198431550166779,0.0,7.0,1.41,2.7269511594934426,100,0.8689137283396853,1.9510862716603146,0.0,8.0,3.03,4.152290350097783,100,2.2060955099750057,3.853904490024994,0.0,13.0,7.81,7.466686958846886,100,6.328447316464719,9.29155268353528,0.0,25.574999999999974,0.11,0.4471006485110373,100,0.021285531419387452,0.19871446858061254,0.0,1.5249999999999915,0.05,0.41132945334843224,100,-0.03161668739887592,0.13161668739887594,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.01,0.09999999999999996,100,-0.00984216951508682,0.029842169515086822,0.0,0.0,0.14,0.5863773391242048,100,0.023650014372919748,0.2563499856270803,0.0,2.0,2.09,2.8783237265372854,100,1.5188781269875076,2.661121873012492,0.0,9.574999999999974,0.67,1.6578859606697502,100,0.34103945731708246,0.9989605426829176,0.0,6.049999999999983,0.21,0.7823172003862642,100,0.05477129495367597,0.365228705046324,0.0,3.0,0.36,1.1850925889754118,100,0.12485191958476757,0.5951480804152324,0.0,5.0,0.96,1.6872666318245875,100,0.6252096947418694,1.2947903052581307,0.0,5.049999999999983
1.58,2.9955522584881287,100,0.9856174429577736,2.1743825570422266,0.0,9.574999999999974,0.81,2.0335320320202777,100,0.40650312706294683,1.2134968729370532,0.0,6.5249999999999915,1.68,2.813675119264426,100,1.121705813231731,2.238294186768269,0.0,8.524999999999991,3.39,4.266133962957443,100,2.543506467329293,4.236493532670707,0.0,13.0,8.86,7.311289181461059,100,7.4092816068762914,10.310718393123707,0.0,26.52499999999999,0.03,0.22270150335361352,100,-0.014188809808070774,0.07418880980807077,0.0,0.0,0.02,0.14070529413628957,100,-0.007918982979224103,0.0479189829792241,0.0,0.0,0.04,0.39999999999999986,100,-0.03936867806034728,0.11936867806034729,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.04,0.31526804372460476,100,-0.022556019662734135,0.10255601966273414,0.0,0.0,1.97,3.144515828864564,100,1.3460598388079557,2.5939401611920445,0.0,11.049999999999983,0.66,1.4299819875958157,100,0.37626054998603037,0.9437394500139697,0.0,5.0,0.1,0.594588390010563,100,-0.017979236262921486,0.21797923626292148,0.0,1.049999999999983,0.48,1.6965800418441321,100,0.1433617121381563,0.8166382878618437,0.0,6.5249999999999915,0.53,1.4103155317126377,100,0.2501628014999804,0.8098371985000197,0.0,5.0
1.46,2.4594488994262296,100,0.9719919802389101,1.9480080197610898,0.0,7.0,1.02,2.2291910930409085,100,0.5776801245036061,1.462319875496394,0.0,7.0,1.01,2.422516431024949,100,0.5293201832251981,1.4906798167748019,0.0,7.0,3.42,4.07549959755819,100,2.6113324612658224,4.228667538734177,0.0,13.524999999999991,8.81,7.273439990329836,100,7.3667917075406395,10.25320829245936,0.0,24.52499999999999,0.02,0.14070529413628957,100,-0.007918982979224103,0.0479189829792241,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.03,0.2999999999999996,100,-0.029526508545260406,0.0895265085452604,0.0,0.0,0.02,0.19999999999999993,100,-0.01968433903017364,0.059684339030173644,0.0,0.0,0.01,0.09999999999999998,100,-0.009842169515086823,0.029842169515086822,0.0,0.0,1.7,2.709877182352429,100,1.1623015758269726,2.2376984241730273,0.0,8.0,0.43,1.1656272425981078,100,0.19871426660965108,0.6612857333903489,0.0,4.5249999999999915,0.1,0.6435381994422816,100,-0.02769194042767506,0.22769194042767507,0.0,0.5249999999999915,0.35,1.140396882889923,100,0.12372051735221529,0.5762794826477846,0.0,4.5249999999999915,0.79,1.7995229446391694,100,0.4329356068618139,1.147064393138186,0.0,6.0
1.3,2.350585570714781,100,0.833592826461602,1.766407173538398,0.0,7.5249999999999915,0.65,1.6414763002993527,100,0.32429548994462676,0.9757045100553733,0.0,6.5249999999999915,1.05,2.244521950856974,100,0.6046381497076254,1.4953618502923747,0.0,7.0,3.43,3.998118244243094,100,2.636686600563672,4.2233133994363286,0.0,13.049999999999983,8.6,6.180778284489763,100,7.373599495439866,9.826400504560134,0.0,21.049999999999983,0.02,0.19999999999999996,100,-0.019684339030173647,0.059684339030173644,0.0,0.0,0.01,0.1,100,-0.009842169515086827,0.02984216951508683,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.03,0.2999999999999999,100,-0.02952650854526046,0.08952650854526045,0.0,0.0,1.19,2.0335320320202777,100,0.7865031270629468,1.593496872937053,0.0,6.5249999999999915,0.35,1.2663077641455711,100,0.09873706685552985,0.6012629331444701,0.0,5.049999999999983,0.0,0.0,100,0.0,0.0,0.0,0.0,0.15,0.7571210756756965,100,-0.00022924727002054945,0.30022924727002054,0.0,2.5249999999999915,0.79,1.6895101196632245,100,0.4547645380818767,1.1252354619181233,0.0,6.0
